# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	325666
#@/user_id	data
a 	啊	c=448 d=2.53214 t=325666
wu yi 	无益	c=1 d=1.5815e-69 t=325666
wu yi wei 	誤以爲	c=1 d=2.64019e-10 t=325666
wu yong 	无用	c=37 d=0.980199 t=325666
wu yong gong 	無用功	c=2 d=0.000409735 t=325666
wu yu 	无语	c=3 d=2.23542e-52 t=325666
wu yue 	五月	c=1 d=1.15005e-174 t=325666
wu yue tian 	五月天	c=1 d=1.30957e-114 t=325666
wu zhang 	五障	c=0 d=1.6316e-84 t=325666
wu zhang a 	五障啊	c=1 d=1.63978e-83 t=325666
wu zhang ai 	無障礙	c=10 d=1.99013e-81 t=325666
wu zhang ai hua 	無障礙化	c=3 d=2.68818e-200 t=325666
wu zhao pian 	無照片	c=1 d=2.34955e-79 t=325666
wu zi 	屋子	c=1 d=4.26588e-37 t=325666
xi 	吸	c=9 d=4.4121e-42 t=325666
xi 	喜	c=1 d=7.36825e-55 t=325666
xi 	洗	c=3 d=1.28146e-95 t=325666
xi 	硒	c=1 d=4.56172e-208 t=325666
xi 	稀	c=1 d=2.32626e-197 t=325666
xi 	系	c=0 d=0.00513033 t=325666
xi 	細	c=3 d=7.45544e-21 t=325666
xi 	西	c=3 d=1.72966e-05 t=325666
xi ai 	喜愛	c=0 d=3.85168e-101 t=325666
xi ao li ai 	希奧利埃	c=1 d=1.29134e-08 t=325666
xi bao 	喜寶	c=1 d=5.39704e-10 t=325666
xi de 	洗的	c=1 d=7.17097e-118 t=325666
xi deng 	熄燈	c=1 d=2.17105e-120 t=325666
xi fen 	細分	c=9 d=0.311926 t=325666
xi fu 	吸附	c=1 d=6.21679e-144 t=325666
xi gou 	析構	c=1 d=2.09772e-10 t=325666
xi guan 	習慣	c=19 d=1.47727 t=325666
xi guan 	膝關	c=1 d=3.28722e-118 t=325666
xi guan le 	習慣了	c=5 d=8.69154e-57 t=325666
xi hao 	喜好	c=1 d=4.62372e-161 t=325666
xi hei qian 	洗黑錢	c=1 d=2.90058e-234 t=325666
xi hua 	細化	c=4 d=0.00125578 t=325666
xi huan 	喜歡	c=16 d=1.32846 t=325666
xi huan de 	喜歡的	c=1 d=1.44234e-103 t=325666
xi ji 	息積	c=1 d=3.71312e-22 t=325666
xi ji 	襲擊	c=2 d=3.73173e-22 t=325666
xi jie 	細節	c=45 d=0.14592 t=325666
xi jie 	西街	c=7 d=0.000127806 t=325666
xi jiu 	喜酒	c=1 d=3.55615e-102 t=325666
xi lie 	系列	c=1 d=7.57876e-151 t=325666
xi men zi 	西門子	c=1 d=2.44244e-94 t=325666
xi na 	吸納	c=1 d=2.8044e-14 t=325666
xi nen 	細嫩	c=0 d=3.1269e-119 t=325666
xi nen na ge 	細嫩那個	c=1 d=3.14257e-118 t=325666
xi nian 	昔年	c=1 d=2.6125e-33 t=325666
xi ping xian shi 	息屏显示	c=1 d=4.17075e-07 t=325666
xi ru 	吸入	c=1 d=1.49881e-143 t=325666
xi shou 	吸收	c=1 d=4.20496e-103 t=325666
xi tong 	系統	c=118 d=3.74442 t=325666
xi tong jian pan 	系統鍵盤	c=1 d=0.0361528 t=325666
xi tong yong 	系統用	c=1 d=1.65334e-121 t=325666
xi wan 	洗完	c=3 d=1.5864e-76 t=325666
xi wan 	洗碗	c=0 d=0.0287941 t=325666
xi wan bu 	洗碗布	c=1 d=0.289385 t=325666
xi wang 	希望	c=74 d=2.1402 t=325666
xi wang wo men 	希望我們	c=1 d=1.1877e-200 t=325666
xi xi 	洗洗	c=1 d=7.43296e-100 t=325666
xi xi shui shui 	洗洗睡睡	c=1 d=7.47022e-99 t=325666
xi xi xiang guan 	息息相关	c=2 d=4.58161e-171 t=325666
xi ya 	西亞	c=1 d=3.86641e-233 t=325666
xi yang 	夕陽	c=2 d=0.0604069 t=325666
xi yi fu 	洗衣服	c=1 d=1.6168e-64 t=325666
xi yi ji 	洗衣機	c=4 d=2.45095e-178 t=325666
xi yin 	吸引	c=3 d=1.95566 t=325666
xi yin dao 	吸引到	c=1 d=8.65142e-32 t=325666
xi you 	稀有	c=1 d=1.18887e-241 t=325666
xi zao 	洗澡	c=3 d=4.91031e-114 t=325666
xi zhi 	喜之	c=0 d=1.00154e-166 t=325666
xi zhi 	細緻	c=2 d=0.0095616 t=325666
xi zhi neng 	喜之能	c=1 d=4.68418e-109 t=325666
xi zhi neng en 	喜之能恩	c=1 d=4.70766e-108 t=325666
xia 	下	c=2528 d=3.20961 t=325666
xia 	俠	c=1 d=9.47452e-13 t=325666
xia 	嚇	c=6 d=1.49102e-23 t=325666
xia 	夏	c=25 d=3.90894e-09 t=325666
xia 	廈	c=1 d=0.343009 t=325666
xia 	瞎	c=1 d=1.1066e-74 t=325666
xia 	蝦	c=1 d=0.715338 t=325666
xia 	霞	c=6 d=1.05495 t=325666
xia ang 	下昂	c=0 d=9.73289e-07 t=325666
xia ang fen 	下昂分	c=1 d=2.06624e-273 t=325666
xia ao 	下凹	c=0 d=3.18596e-192 t=325666
xia ao pai xu o 	下凹排序哦	c=1 d=9.86767e-197 t=325666
xia ao zao 	下凹早	c=1 d=3.20193e-191 t=325666
xia ba 	下吧	c=8 d=8.38886e-64 t=325666
xia ba 	下把	c=2 d=5.30787e-108 t=325666
xia ban 	下班	c=49 d=0.181772 t=325666
xia ban ben 	下班本	c=3 d=8.00464e-36 t=325666
xia ban hou 	下班後	c=1 d=9.8261e-118 t=325666
xia ban jie 	下半截	c=1 d=3.37133e-33 t=325666
xia ban le 	下班了	c=3 d=7.9754e-16 t=325666
xia ban nian 	下半年	c=5 d=0.067881 t=325666
xia ban nian 	夏半年	c=1 d=2.63957e-66 t=325666
xia ban qian 	下班前	c=10 d=0.0142642 t=325666
xia biao 	下標	c=2 d=2.30992e-26 t=325666
xia bu fen 	下部分	c=1 d=3.73403e-88 t=325666
xia ceng 	下層	c=2 d=6.39605e-08 t=325666
xia chen 	下沉	c=3 d=2.63007e-53 t=325666
xia ci 	下次	c=26 d=0.110251 t=325666
xia da yu 	下大雨	c=1 d=1.81983e-44 t=325666
xia dan 	下單	c=1 d=0.0495387 t=325666
xia de 	下的	c=1 d=0.99005 t=325666
xia dian nao 	下電腦	c=1 d=8.13546e-132 t=325666
xia diao 	瞎掉	c=1 d=6.75977e-41 t=325666
xia die 	下跌	c=4 d=1.23784e-69 t=325666
xia du 	下肚	c=1 d=4.37239e-33 t=325666
xia fa 	下發	c=306 d=0.467666 t=325666
xia fa de 	下發的	c=1 d=3.05821e-92 t=325666
xia fa ge an 	下發個案	c=1 d=1.08754e-193 t=325666
xia fa le 	下發了	c=9 d=0.00514883 t=325666
xia fa liang 	下法良	c=1 d=9.23468e-123 t=325666
xia fa zi yuan 	下發資源	c=1 d=6.7094e-100 t=325666
xia ga e 	下噶額	c=1 d=1.32212e-226 t=325666
xia ge 	下個	c=104 d=4.50645e-06 t=325666
xia ge ban ben 	下個版本	c=4 d=3.3057e-37 t=325666
xia ge yue 	下個月	c=6 d=3.32238e-08 t=325666
xia ha 	下哈	c=10 d=7.62446e-16 t=325666
xia hua 	下滑	c=37 d=4.35146e-06 t=325666
xia hua xian 	下劃線	c=6 d=3.30176e-23 t=325666
xia jia 	下家	c=2 d=6.36183e-180 t=325666
xia jia 	下架	c=3 d=4.86074e-14 t=325666
xia jiang 	下降	c=11 d=3.69082e-10 t=325666
xia ke 	俠客	c=1 d=6.98702e-118 t=325666
xia ke meng 	俠客夢	c=5 d=1.99678e-18 t=325666
xia la 	下拉	c=19 d=0.00177471 t=325666
xia la 	夏腊	c=2 d=5.47098e-23 t=325666
xia lai 	下來	c=69 d=0.860837 t=325666
xia lai le 	下來了	c=3 d=2.95664e-77 t=325666
xia lai ma 	下來嘛	c=1 d=1.67677e-22 t=325666
xia lao shi 	夏老实	c=6 d=1.43206e-19 t=325666
xia le 	下了	c=10 d=0.0356146 t=325666
xia lia 	下倆	c=1 d=0.00662049 t=325666
xia lie 	下列	c=14 d=1.05181e-06 t=325666
xia mian 	下面	c=155 d=1.18121 t=325666
xia mian de 	下面的	c=1 d=1.0728e-62 t=325666
xia mian zhe ge 	下面這個	c=1 d=2.95503e-100 t=325666
xia ni 	夏倪	c=2 d=1.01404e-17 t=325666
xia o zuo wen 	下哦作文	c=1 d=1.02889e-129 t=325666
xia pi 	蝦皮	c=3 d=3.34546e-231 t=325666
xia qian 	下籤	c=1 d=1.76545e-40 t=325666
xia qu 	下去	c=20 d=0.220109 t=325666
xia ren 	嚇人	c=4 d=3.45726e-36 t=325666
xia ren 	蝦仁	c=1 d=0.970446 t=325666
xia shan 	下山	c=3 d=7.8611e-37 t=325666
xia si 	嚇死	c=1 d=2.79716e-13 t=325666
xia tian 	夏天	c=2 d=1.20126e-69 t=325666
xia tou 	下頭	c=24 d=3.74689e-99 t=325666
xia tu 	下圖	c=2 d=0.00657158 t=325666
xia wei 	下位	c=1 d=0.0948935 t=325666
xia wen 	下文	c=1 d=2.3494e-137 t=325666
xia wo 	嚇我	c=8 d=5.83443e-15 t=325666
xia wu 	下午	c=179 d=0.559 t=325666
xia wu ke yi 	下午可以	c=1 d=0.000483238 t=325666
xia wu qian 	下午前	c=1 d=6.38476e-46 t=325666
xia xia 	下下	c=6 d=5.30206e-07 t=325666
xia xia zhou 	下下周	c=6 d=0.187308 t=325666
xia xian 	下線	c=59 d=5.22112e-12 t=325666
xia xian le 	下先了	c=4 d=7.06541e-120 t=325666
xia xue qi 	下學期	c=1 d=1.40323e-15 t=325666
xia yi 	下一	c=1 d=1.20171e-44 t=325666
xia yi ceng 	下一層	c=1 d=3.32537e-283 t=325666
xia yi ci 	下一次	c=6 d=3.56874e-26 t=325666
xia yi ge 	下一個	c=22 d=0.00628242 t=325666
xia yi qi 	下一期	c=2 d=5.88128e-109 t=325666
xia yi shi 	下意識	c=2 d=0.47001 t=325666
xia yi shua 	下一刷	c=2 d=0.77976 t=325666
xia yi tiao 	嚇一跳	c=1 d=2.22412e-110 t=325666
xia yi ye 	下一頁	c=1 d=1.85843e-85 t=325666
xia yu 	下雨	c=3 d=0.0593086 t=325666
xia yu le 	下雨了	c=0 d=0.0612626 t=325666
xia za 	下咋	c=2 d=1.25403e-16 t=325666
xia zai 	下載	c=388 d=3.54961 t=325666
xia zai de 	下載的	c=1 d=6.82704e-128 t=325666
xia zai le 	下載了	c=1 d=1.57505e-21 t=325666
xia zai liang 	下載量	c=1 d=1.99028e-156 t=325666
xia zai ri zhi 	下載日誌	c=2 d=1.35175e-134 t=325666
xia zha 	下渣	c=1 d=1.28181e-156 t=325666
xia zhai 	狹窄	c=1 d=3.84644e-84 t=325666
xia zhou 	下週	c=122 d=2.29684 t=325666
xia zhou er 	下週二	c=3 d=1.49128e-172 t=325666
xia zhou mo 	下週末	c=1 d=2.47853e-237 t=325666
xia zhou san 	下週三	c=3 d=2.04629e-159 t=325666
xia zhou si 	下週四	c=1 d=6.02665e-14 t=325666
xia zhou wu 	下週五	c=3 d=1.75701e-160 t=325666
xia zhou yi 	下週一	c=26 d=0.0222592 t=325666
xia zi 	瞎子	c=0 d=1.04108e-239 t=325666
xia zi a 	瞎子啊	c=5 d=6.26026e-79 t=325666
xia zuan 	下鑽	c=7 d=2.11362e-40 t=325666
xian 	先	c=991 d=2.13877 t=325666
xian 	現	c=136 d=0.000496968 t=325666
xian 	線	c=61 d=0.596811 t=325666
xian 	腺	c=1 d=3.06749e-157 t=325666
xian 	賢	c=6 d=2.5448e-77 t=325666
xian 	閒	c=2 d=4.16281e-14 t=325666
xian 	險	c=10 d=4.23396e-125 t=325666
xian 	鮮	c=1 d=0.733447 t=325666
xian ba 	先把	c=11 d=0.0617291 t=325666
xian bao liu 	先保留	c=1 d=2.67675e-201 t=325666
xian bu yao 	先不要	c=2 d=6.66048e-14 t=325666
xian chang 	現場	c=5 d=1.18715e-18 t=325666
xian cheng 	現成	c=4 d=1.59169e-27 t=325666
xian cheng 	線程	c=39 d=0.980199 t=325666
xian cheng chi 	线程池	c=1 d=7.47706e-51 t=325666
xian cheng zhong 	線程中	c=1 d=1.42141e-225 t=325666
xian chong 	線充	c=0 d=8.88525e-82 t=325666
xian chu 	先出	c=1 d=2.02591e-12 t=325666
xian chu 	獻出	c=1 d=4.61724e-27 t=325666
xian chu li 	先處理	c=3 d=9.93055e-66 t=325666
xian dai 	現代	c=1 d=0.000401622 t=325666
xian de 	顯得	c=2 d=3.85287e-133 t=325666
xian ding 	限定	c=3 d=6.77035e-30 t=325666
xian ding le 	限定了	c=1 d=8.18101e-227 t=325666
xian du 	限度	c=0 d=3.80687e-81 t=325666
xian dui 	現對	c=1 d=0.000122794 t=325666
xian dui qi 	現對器	c=1 d=1.37096e-06 t=325666
xian e 	限額	c=2 d=4.75031e-214 t=325666
xian fen xi 	先分析	c=1 d=3.92176e-165 t=325666
xian gao du 	先高度	c=1 d=4.079e-10 t=325666
xian guan 	现观	c=7 d=0.0703445 t=325666
xian hou 	先後	c=6 d=0.00410726 t=325666
xian jie 	现劫	c=0 d=3.55074e-232 t=325666
xian jie 	銜接	c=2 d=3.06322e-170 t=325666
xian jie duan 	現階段	c=8 d=6.89303e-06 t=325666
xian ka 	顯卡	c=7 d=1.82607 t=325666
xian kai 	掀開	c=2 d=0.00146632 t=325666
xian kan 	先看	c=3 d=9.12192e-08 t=325666
xian kan ba 	先看吧	c=1 d=3.01219e-237 t=325666
xian kan kan 	先看看	c=1 d=2.30506e-60 t=325666
xian kan xia 	先看下	c=4 d=1.9121e-67 t=325666
xian kuai su 	先快速	c=1 d=3.25361e-56 t=325666
xian liang 	賢良	c=2 d=6.87719e-177 t=325666
xian liao 	閒聊	c=2 d=0.380983 t=325666
xian mian 	鲜冕	c=1 d=2.69218e-151 t=325666
xian mu 	羨慕	c=8 d=6.43606e-14 t=325666
xian mu le 	羨慕了	c=1 d=1.2027e-230 t=325666
xian pai cha 	先排查	c=1 d=9.39151e-174 t=325666
xian qian 	先遣	c=2 d=3.30276e-95 t=325666
xian qu 	先去	c=5 d=6.37282e-24 t=325666
xian qu 	先取	c=1 d=9.58317e-147 t=325666
xian rang 	先讓	c=1 d=3.20704e-152 t=325666
xian ren 	仙人	c=1 d=1.99036e-274 t=325666
xian ren cuo 	先認錯	c=1 d=1.03513e-112 t=325666
xian ru 	陷入	c=2 d=5.18261e-33 t=325666
xian ru wei zhu 	先入为主	c=1 d=1.8165e-140 t=325666
xian shang 	先上	c=0 d=6.48036e-16 t=325666
xian shang 	線上	c=7 d=0.495315 t=325666
xian she zhi 	先設置	c=4 d=8.67353e-62 t=325666
xian sheng 	先生	c=1 d=3.19767e-146 t=325666
xian shi 	現實	c=5 d=3.41635e-42 t=325666
xian shi 	顯式	c=2 d=2.45989e-81 t=325666
xian shi 	顯示	c=28 d=0.631284 t=325666
xian shi qi 	顯示器	c=12 d=0.96079 t=325666
xian shi yong 	先使用	c=3 d=3.12348e-17 t=325666
xian shuo 	先說	c=4 d=7.84521e-87 t=325666
xian tai 	冼太	c=2 d=3.10729e-32 t=325666
xian ti gong 	先提供	c=1 d=4.78419e-180 t=325666
xian tian 	先天	c=1 d=3.9924e-81 t=325666
xian tiao zheng 	先調整	c=1 d=7.35304e-207 t=325666
xian tong bu 	先同步	c=1 d=1.26229e-05 t=325666
xian wang 	先網	c=3 d=1.34442e-06 t=325666
xian wei 	先爲	c=1 d=7.33275e-57 t=325666
xian wei 	纖維	c=1 d=3.70672e-178 t=325666
xian xi 	嫌隙	c=1 d=3.1038e-119 t=325666
xian xia 	線下	c=8 d=4.77214e-06 t=325666
xian xing 	線性	c=5 d=0.00305798 t=325666
xian yi 	嫌疑	c=1 d=2.39563e-131 t=325666
xian yong 	先用	c=6 d=4.26878e-45 t=325666
xian you 	現有	c=52 d=0.000580418 t=325666
xian yu 	閒餘	c=0 d=1.72679e-104 t=325666
xian yu fan hou 	閒餘飯後	c=1 d=1.73545e-103 t=325666
xian za 	閒雜	c=5 d=1.01719e-24 t=325666
xian za qi 	閒雜器	c=1 d=2.54171e-239 t=325666
xian zai 	先在	c=107 d=0.00435348 t=325666
xian zai 	現在	c=1373 d=2.52953 t=325666
xian zai de 	現在的	c=2 d=7.51302e-78 t=325666
xian zai qu 	現在取	c=1 d=1.4143e-78 t=325666
xian zai shi 	现在世	c=2 d=3.53997e-19 t=325666
xian zhan shi 	先展示	c=2 d=1.86244e-86 t=325666
xian zhao 	先找	c=4 d=0.181772 t=325666
xian zhe yang 	先這樣	c=1 d=1.98495e-242 t=325666
xian zhen dui 	先針對	c=2 d=8.06927e-36 t=325666
xian zhi 	限制	c=102 d=0.25924 t=325666
xian zhi dao 	先知道	c=1 d=6.94292e-32 t=325666
xian zhi le 	限制了	c=2 d=2.57422e-116 t=325666
xian zhi xia 	限制下	c=1 d=5.48327e-20 t=325666
xian zhu 	顯著	c=13 d=1.37499e-11 t=325666
xian zhuang 	現狀	c=16 d=1.78939e-22 t=325666
xian zi 	弦子	c=0 d=1.28072e-147 t=325666
xian zi a 	弦子啊	c=3 d=5.54934e-102 t=325666
xian zi a you 	弦子啊有	c=1 d=1.08219e-135 t=325666
xiang 	像	c=88 d=0.921015 t=325666
xiang 	向	c=28 d=0.00677172 t=325666
xiang 	想	c=373 d=2.08337 t=325666
xiang 	相	c=3 d=1.70832e-06 t=325666
xiang 	翔	c=2 d=2.67559e-50 t=325666
xiang 	鄉	c=2 d=0.985111 t=325666
xiang 	項	c=1 d=1.06779e-96 t=325666
xiang 	香	c=5 d=1.49747e-15 t=325666
xiang ban fa 	想辦法	c=1 d=1.66666e-39 t=325666
xiang bi 	相比	c=1 d=1.4987e-54 t=325666
xiang bu 	相簿	c=1 d=1.047e-99 t=325666
xiang bu chu 	想不出	c=1 d=1.05224e-99 t=325666
xiang bu kai 	想不開	c=1 d=4.20196e-124 t=325666
xiang bu ming bai 	想不明白	c=1 d=0.0471227 t=325666
xiang ce 	相冊	c=48 d=0.00552799 t=325666
xiang cha 	相差	c=3 d=0.000257369 t=325666
xiang chu 	相處	c=1 d=5.47563e-33 t=325666
xiang chu lai 	想出來	c=2 d=0.000176005 t=325666
xiang chuan 	相傳	c=7 d=2.59408e-38 t=325666
xiang cuo 	相錯	c=1 d=6.98367e-42 t=325666
xiang dang 	相當	c=0 d=2.0948e-24 t=325666
xiang dang duo 	相當多	c=1 d=3.99243e-228 t=325666
xiang dang guan yu 	相當關於	c=1 d=6.70619e-65 t=325666
xiang dang lai shuo 	相當來說	c=1 d=4.18813e-144 t=325666
xiang dang ran 	想当然	c=1 d=1.08178e-13 t=325666
xiang dang yu 	相當於	c=62 d=0.0670139 t=325666
xiang dang yuan 	相當元	c=1 d=2.90964e-65 t=325666
xiang dao 	想到	c=19 d=5.76146e-14 t=325666
xiang dao le 	想到了	c=1 d=1.70594e-19 t=325666
xiang de 	想得	c=7 d=1.93611e-08 t=325666
xiang de mei 	想得美	c=1 d=3.53071e-47 t=325666
xiang deng 	相等	c=13 d=1.17431e-08 t=325666
xiang dui 	相對	c=31 d=1.05636e-05 t=325666
xiang dui lai 	相對來	c=1 d=5.49039e-94 t=325666
xiang dui lai shuo 	相對來說	c=2 d=1.6749e-97 t=325666
xiang fa 	想法	c=31 d=0.504804 t=325666
xiang fen xi 	相分析	c=0 d=0.097531 t=325666
xiang fen xi zhong xin cun 	相分析中心村	c=1 d=0.980199 t=325666
xiang fu 	享福	c=1 d=2.46198e-217 t=325666
xiang gai 	想該	c=1 d=1.78726e-08 t=325666
xiang gang 	香港	c=6 d=1.74804e-86 t=325666
xiang gang guan 	香港馆	c=1 d=2.43339e-21 t=325666
xiang ge 	像個	c=2 d=0.000108909 t=325666
xiang ge 	相格	c=1 d=0.000108366 t=325666
xiang gei 	想給	c=1 d=4.80486e-25 t=325666
xiang guan 	相關	c=348 d=1.23023 t=325666
xiang guo 	想過	c=1 d=1.09147e-206 t=325666
xiang hao 	想好	c=1 d=4.42676e-237 t=325666
xiang hu 	相互	c=1 d=9.01559e-164 t=325666
xiang hu de 	相互的	c=1 d=3.09546e-58 t=325666
xiang jie 	詳解	c=2 d=0.99005 t=325666
xiang kan 	相看	c=1 d=1.80172e-44 t=325666
xiang kan de 	相看的	c=1 d=2.69713e-202 t=325666
xiang kan kan 	想看看	c=2 d=3.30841e-76 t=325666
xiang kan xia 	想看下	c=3 d=2.70749e-12 t=325666
xiang kan yi xia 	相看一下	c=1 d=1.19573e-191 t=325666
xiang lai 	想來	c=1 d=0.771052 t=325666
xiang le 	想了	c=1 d=1.9569e-16 t=325666
xiang le 	相了	c=4 d=1.53392e-92 t=325666
xiang le xiang 	想了想	c=1 d=3.00621e-08 t=325666
xiang liao jie 	想瞭解	c=2 d=9.65739e-32 t=325666
xiang mai 	想買	c=1 d=8.88373e-79 t=325666
xiang ming bai 	想明白	c=1 d=2.02249e-139 t=325666
xiang mu 	橡木	c=11 d=6.77958e-09 t=325666
xiang mu 	項目	c=57 d=0.808829 t=325666
xiang mu shi 	項目是	c=1 d=5.58114e-81 t=325666
xiang mu zhong 	項目中	c=3 d=8.3275e-83 t=325666
xiang mu zu 	項目組	c=1 d=2.18705e-30 t=325666
xiang qi 	想起	c=15 d=0.748264 t=325666
xiang qi lai 	想起來	c=20 d=0.244143 t=325666
xiang qi lai le 	想起來了	c=1 d=1.25366e-277 t=325666
xiang qing 	詳情	c=15 d=0.000925663 t=325666
xiang qing 	鄉情	c=0 d=5.15823e-243 t=325666
xiang qing jiao 	想請教	c=2 d=3.6013e-74 t=325666
xiang qing wei 	鄉情爲	c=1 d=5.18408e-242 t=325666
xiang qing wen xia 	想請問下	c=1 d=2.99857e-125 t=325666
xiang qing ye 	詳情頁	c=19 d=0.763379 t=325666
xiang qu 	想去	c=5 d=2.37593e-08 t=325666
xiang que ding 	想確定	c=1 d=1.26814e-30 t=325666
xiang que ren 	想確認	c=2 d=1.15443e-13 t=325666
xiang que ren xia 	想確認下	c=1 d=3.55252e-90 t=325666
xiang shang 	向上	c=5 d=4.24525e-43 t=325666
xiang shi 	像是	c=18 d=0.00156483 t=325666
xiang shuo 	想說	c=1 d=5.60743e-195 t=325666
xiang si 	想死	c=1 d=1.61657e-33 t=325666
xiang si 	相似	c=7 d=3.38305e-15 t=325666
xiang su 	像素	c=7 d=2.05262e-19 t=325666
xiang tang 	向塘	c=1 d=1.64212e-41 t=325666
xiang tong 	相同	c=59 d=0.965605 t=325666
xiang tong de 	相同的	c=1 d=3.61751e-68 t=325666
xiang tong ge shi 	相同格式	c=1 d=1.83544e-115 t=325666
xiang tong hua ti 	相同話題	c=1 d=7.05408e-13 t=325666
xiang wen 	想問	c=3 d=3.33292e-105 t=325666
xiang wen ge 	想問哥	c=1 d=3.34963e-104 t=325666
xiang wen xia 	想問下	c=10 d=2.56369e-10 t=325666
xiang wo 	像我	c=4 d=8.01265e-12 t=325666
xiang xi 	詳細	c=47 d=0.0691431 t=325666
xiang xia 	向下	c=4 d=1.36171e-44 t=325666
xiang xiang 	想像	c=4 d=4.74058e-43 t=325666
xiang xiang 	想象	c=0 d=0.0537945 t=325666
xiang xiang zhong 	想象中	c=2 d=2.8903e-16 t=325666
xiang xin 	相信	c=8 d=0.271173 t=325666
xiang yao 	想要	c=43 d=1.50835 t=325666
xiang yao de 	想要的	c=1 d=3.05249e-70 t=325666
xiang yao li hun 	想要離婚	c=1 d=5.7872e-37 t=325666
xiang ying 	相應	c=6 d=0.0107807 t=325666
xiang ying 	響應	c=53 d=6.66388e-20 t=325666
xiang yong 	想用	c=1 d=7.95894e-168 t=325666
xiang you 	香油	c=1 d=0.172045 t=325666
xiang yu 	相与	c=1 d=1.62817e-117 t=325666
xiang zai 	想在	c=6 d=0.0757741 t=325666
xiang zhe 	想着	c=10 d=0.571209 t=325666
xiang zhi dao 	想知道	c=3 d=8.39573e-32 t=325666
xiang zhi qian 	香纸钱	c=1 d=8.20518e-56 t=325666
xiang zi 	箱子	c=1 d=0.039955 t=325666
xiang zi xun 	想諮詢	c=1 d=1.47533e-75 t=325666
xiang zuo 	想做	c=2 d=2.74364e-21 t=325666
xiao 	孝	c=2 d=1.7265e-240 t=325666
xiao 	小	c=126 d=1.27962 t=325666
xiao 	效	c=3 d=1.63343e-08 t=325666
xiao 	曉	c=71 d=0.0939493 t=325666
xiao 	消	c=2 d=5.56691e-51 t=325666
xiao 	笑	c=6 d=0.000702714 t=325666
xiao 	肖	c=1 d=7.08468e-152 t=325666
xiao 	驍	c=1 d=9.38223e-133 t=325666
xiao ai 	小愛	c=4 d=6.79272e-11 t=325666
xiao ban ben 	小版本	c=3 d=6.02216e-64 t=325666
xiao ben 	小本	c=0 d=1.41038e-252 t=325666
xiao ben ben 	小本本	c=1 d=1.41745e-251 t=325666
xiao bu fen 	小部分	c=1 d=2.27468e-51 t=325666
xiao cang 	小仓	c=1 d=1.7442e-74 t=325666
xiao cang ku 	小倉庫	c=1 d=4.74396e-22 t=325666
xiao cha qu 	小插曲	c=1 d=1.64001e-114 t=325666
xiao chen 	小陳	c=0 d=2.52026e-111 t=325666
xiao chen xu 	小陳需	c=1 d=2.53289e-110 t=325666
xiao cheng xu 	小程序	c=7 d=1.09619e-51 t=325666
xiao chou 	小丑	c=2 d=2.48205e-48 t=325666
xiao chu 	消除	c=22 d=1.29179e-06 t=325666
xiao chu sheng 	笑出聲	c=3 d=1.42395e-11 t=325666
xiao chuan 	哮喘	c=11 d=0.000323928 t=325666
xiao chuang 	小窗	c=130 d=0.00063675 t=325666
xiao chui 	小錘	c=1 d=0.000227127 t=325666
xiao dao 	小道	c=2 d=2.06221e-15 t=325666
xiao dao xiao xi 	小道消息	c=2 d=5.99154e-151 t=325666
xiao de 	笑得	c=1 d=1.99821e-144 t=325666
xiao di 	小弟	c=1 d=4.15533e-81 t=325666
xiao dian 	小淀	c=3 d=1.77192e-13 t=325666
xiao dian 	小點	c=13 d=4.07954e-09 t=325666
xiao dian nao 	小電腦	c=4 d=3.16455e-16 t=325666
xiao duan ju 	小短句	c=1 d=4.53217e-161 t=325666
xiao duan yu 	小短語	c=1 d=4.55489e-161 t=325666
xiao fei 	消費	c=48 d=1.13128 t=325666
xiao fei zhe 	消費者	c=3 d=7.33049e-24 t=325666
xiao fen dui 	小分隊	c=8 d=0.373439 t=325666
xiao gai dong 	小改動	c=3 d=6.51311e-133 t=325666
xiao gong ju 	小工具	c=1 d=1.56155e-08 t=325666
xiao guan 	小官	c=1 d=9.82952e-269 t=325666
xiao guo 	效果	c=30 d=9.40076e-06 t=325666
xiao hai 	小孩	c=1 d=0.000108366 t=325666
xiao hai 	小海	c=2 d=1.89032e-138 t=325666
xiao hao 	小號	c=3 d=3.06215e-19 t=325666
xiao hao 	消耗	c=1 d=7.75683e-42 t=325666
xiao he hua 	小荷花	c=1 d=4.22176e-238 t=325666
xiao hei 	小黑	c=1 d=7.99824e-79 t=325666
xiao hong 	小红	c=0 d=2.58027e-35 t=325666
xiao hong bao 	小红包	c=1 d=2.5932e-34 t=325666
xiao hong dian 	小红点	c=5 d=7.73978e-97 t=325666
xiao hong shu 	小红书	c=4 d=7.49028e-13 t=325666
xiao hou zi 	小猴子	c=1 d=4.30014e-131 t=325666
xiao hu li 	小狐狸	c=1 d=1.76162e-132 t=325666
xiao huang ren 	小黃人	c=1 d=4.49467e-34 t=325666
xiao hui 	銷毀	c=5 d=5.32549e-20 t=325666
xiao hui yi 	小會議	c=3 d=6.14441e-28 t=325666
xiao huo 	小夥	c=0 d=4.748e-33 t=325666
xiao huo ban 	小夥伴	c=1 d=0.00142298 t=325666
xiao huo ban 	小活瓣	c=5 d=2.05891e-46 t=325666
xiao huo zhi 	小夥只	c=1 d=4.7718e-32 t=325666
